2026-05-05 20:24:55 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 20:24:55 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 20:24:55 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:24:57 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 20:28:03 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 4 completed shard 0 (1 batches, 373.20s)
2026-05-05 20:28:03 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 2 for shard 1 (1 batches)
2026-05-05 20:28:03 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-2] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:28:03 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:28:03 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:28:03 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 20:28:03 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 20:28:03 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 20:28:03 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:28:05 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 20:28:17 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 5 completed shard 0 (1 batches, 384.77s)
2026-05-05 20:28:17 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 3 for shard 1 (1 batches)
2026-05-05 20:28:17 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-3] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:28:17 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:28:17 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:28:17 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 20:28:17 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 20:28:17 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 20:28:17 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:28:19 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 20:29:05 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 2 completed shard 1 (1 batches, 247.76s)
2026-05-05 20:29:05 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 2 (1 batches)
2026-05-05 20:29:05 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-0] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:29:05 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:29:05 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:29:05 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 20:29:05 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 20:29:05 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 20:29:05 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:29:07 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 20:29:07 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 3 completed shard 1 (1 batches, 252.03s)
2026-05-05 20:29:07 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 2 (1 batches)
