2026-05-01 20:35:56 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 20:35:56 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-01 20:35:56 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:35:57 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 20:36:33 | Controller | INFO | controller.py:1299 | [experimentOscar:Controller] Pipeline 2 completed shard 0 (1 batches, 580.92s)
2026-05-01 20:36:33 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 1 for shard 0 (1 batches)
2026-05-01 20:36:34 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experimentOscar:QueryProcessingActor-1] Reusing existing inference engine (config hash: 366007d7)
2026-05-01 20:36:34 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-01 20:36:34 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:36:34 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 20:36:34 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 20:36:34 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 20:36:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:36:36 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 20:43:37 | Controller | INFO | controller.py:1299 | [experimentOscar:Controller] Pipeline 5 completed shard 0 (1 batches, 484.81s)
2026-05-01 20:43:37 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 9 (Pipeline 9) on actor 0 for shard 0 (1 batches)
2026-05-01 20:43:37 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar:QueryProcessingActor-0] Reusing existing inference engine (config hash: 366007d7)
2026-05-01 20:43:37 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-01 20:43:37 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:43:37 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 20:43:37 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 20:43:37 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-01 20:43:37 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:43:38 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 20:43:49 | Controller | INFO | controller.py:1299 | [experimentOscar:Controller] Pipeline 7 completed shard 0 (1 batches, 471.25s)
2026-05-01 20:43:49 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 10 (Pipeline 10) on actor 2 for shard 0 (1 batches)
2026-05-01 20:43:49 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experimentOscar:QueryProcessingActor-2] Reusing existing inference engine (config hash: 366007d7)
2026-05-01 20:43:49 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-01 20:43:49 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:43:49 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 20:43:49 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 20:43:49 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 20:43:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 20:43:51 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 20:45:21 | Controller | INFO | controller.py:1299 | [experimentOscar:Controller] Pipeline 6 completed shard 0 (1 batches, 574.20s)
2026-05-01 20:45:21 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 11 (Pipeline 11) on actor 3 for shard 0 (1 batches)
2026-05-01 20:45:21 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [experimentOscar:QueryProcessingActor-3] Reusing existing inference engine (config hash: 366007d7)
2026-05-01 20:45:21 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-01 20:45:21 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 20:45:21 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 20:45:21 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 20:45:21 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-3] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 20:45:21 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:45:22 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
