2026-05-02 03:42:46 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_chunk_grid:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 03:42:46 | Controller | INFO | controller.py:1422 | [experiment_exploration_chunk_grid:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-02 03:42:46 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Initializing new inference engine (config hash: fad9b07b)
2026-05-02 03:42:46 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-02 03:42:46 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 03:42:46 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-02 03:42:46 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-02 03:42:46 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-02 03:42:46 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 03:42:47 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_chunk_grid:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-02 03:42:47 | Controller | INFO | controller.py:1422 | [experiment_exploration_chunk_grid:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-02 03:42:48 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experiment_exploration_chunk_grid:QueryProcessingActor-2] Initializing new inference engine (config hash: fad9b07b)
2026-05-02 03:42:48 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration_chunk_grid:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-02 03:42:48 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration_chunk_grid:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 03:42:48 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration_chunk_grid:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-02 03:42:48 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration_chunk_grid:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-02 03:42:48 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration_chunk_grid:QueryProcessingActor-2] Recreated retriever with search_type=similarity
