2026-05-07 12:13:01 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:13:01 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 12:13:01 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 12:13:01 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 12:13:01 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:13:04 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 12:22:52 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 6 completed shard 0 (1 batches, 650.47s)
2026-05-07 12:22:52 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 1 for shard 1 (1 batches)
2026-05-07 12:22:52 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:22:52 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:22:52 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:22:52 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 12:22:52 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 12:22:52 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 12:22:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:22:54 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 12:22:55 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 5 completed shard 0 (1 batches, 660.48s)
2026-05-07 12:22:55 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 1 (1 batches)
2026-05-07 12:22:55 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:22:55 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:22:55 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:22:55 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 12:22:55 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 12:22:55 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 12:22:55 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:22:57 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 12:26:07 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 1 completed shard 1 (1 batches, 192.11s)
2026-05-07 12:26:07 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 1 (1 batches)
2026-05-07 12:26:07 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-1] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:26:07 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:26:07 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:26:07 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 12:26:07 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 12:26:07 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 12:26:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:26:09 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 12:26:17 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs:Controller] Pipeline 2 completed shard 1 (1 batches, 199.90s)
2026-05-07 12:26:17 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 1 (1 batches)
2026-05-07 12:26:17 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs:QueryProcessingActor-0] Reusing existing inference engine (config hash: f2fafd19)
2026-05-07 12:26:17 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:26:17 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
