2026-05-07 17:31:19 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-1] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:31:19 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:31:19 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:31:19 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 17:31:19 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 17:31:19 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 17:31:19 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:31:22 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 17:32:07 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 3 completed shard 2 (1 batches, 531.19s)
2026-05-07 17:32:07 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 3 (1 batches)
2026-05-07 17:32:07 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [goldentest:QueryProcessingActor-2] Reusing existing inference engine (config hash: adec4f70)
2026-05-07 17:32:07 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:32:07 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:32:07 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 17:32:07 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 17:32:07 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 17:32:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:32:10 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 17:38:59 | Controller | INFO | controller.py:1192 | [goldentest:Controller] Pipeline 1 completed all 4 shards
2026-05-07 17:38:59 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 1 completed shard 3 (1 batches, 487.56s)
2026-05-07 17:39:47 | Controller | INFO | controller.py:1192 | [goldentest:Controller] Pipeline 2 completed all 4 shards
2026-05-07 17:39:47 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 2 completed shard 3 (1 batches, 505.21s)
2026-05-07 17:40:27 | Controller | INFO | controller.py:1192 | [goldentest:Controller] Pipeline 3 completed all 4 shards
2026-05-07 17:40:28 | Controller | INFO | controller.py:1299 | [goldentest:Controller] Pipeline 3 completed shard 3 (1 batches, 497.19s)
2026-05-07 17:40:28 | Controller | INFO | controller.py:1386 | [goldentest:Controller] All pipelines completed all shards!
2026-05-07 17:40:28 | Controller | INFO | controller.py:695 | [goldentest:Controller] Computing final metrics for all pipelines...
2026-05-07 17:40:28 | Experiment | INFO | metric_rfmetric_manager.py:190 | [goldentest:Experiment] Ending run: 9f53eec17e014e27a39d6ec93c646bca, 1 in rf_mlflow
2026-05-07 17:40:28 | Experiment | WARNING | metric_mlflow_manager.py:101 | [goldentest:Experiment] Run 9f53eec17e014e27a39d6ec93c646bca is not the active run, no local context to clear
2026-05-07 17:40:28 | Controller | INFO | controller.py:853 | [goldentest:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-07 17:40:29 | Experiment | INFO | metric_rfmetric_manager.py:190 | [goldentest:Experiment] Ending run: 9fac98ef810d49d7ba7e7127a4bc35ae, 2 in rf_mlflow
2026-05-07 17:40:29 | Experiment | WARNING | metric_mlflow_manager.py:101 | [goldentest:Experiment] Run 9fac98ef810d49d7ba7e7127a4bc35ae is not the active run, no local context to clear
2026-05-07 17:40:29 | Controller | INFO | controller.py:853 | [goldentest:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-07 17:40:29 | Experiment | INFO | metric_rfmetric_manager.py:190 | [goldentest:Experiment] Ending run: 2a112da7021b427db69fdfcf4446ba2a, 3 in rf_mlflow
2026-05-07 17:40:29 | Experiment | WARNING | metric_mlflow_manager.py:101 | [goldentest:Experiment] Run 2a112da7021b427db69fdfcf4446ba2a is not the active run, no local context to clear
2026-05-07 17:40:29 | Controller | INFO | controller.py:853 | [goldentest:Controller] Pipeline 3 (Pipeline 3) completed successfully
2026-05-07 17:40:29 | ExperimentUtils | INFO | experiment_utils.py:180 | [goldentest:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 17:40:29 | ExperimentUtils | INFO | experiment_utils.py:188 | [goldentest:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 17:40:29 | ExperimentUtils | INFO | experiment_utils.py:154 | [goldentest:ExperimentUtils] Experiment goldentest ended
2026-05-07 17:40:32 | Experiment | INFO | experiment.py:574 | [goldentest:Experiment] All actors shut down
2026-05-07 17:40:32 | Experiment | INFO | experiment.py:575 | [goldentest:Experiment] Dispatcher will automatically shut down (daemon thread)
